method,gerav_f1-score,gerav_average_time,gerav_average_memory,avshift_f1-score,avshift_average_time,avshift_average_memory,pan2020_f1-score,pan2020_average_time,pan2020_average_memory,crossnews_f1-score,crossnews_average_time,crossnews_average_memory
adhominem,,,,,,,,,,,,
charngram,0.7159152634437805,8.755851328863423e-07,1.7773371505737303,0.647586708707252,1.265520015649036e-06,2.039905033111572,,,,,,
ppm,0.6329168929929386,0.0518009572537134,0.6854262709256218,0.6222123104371097,0.1430363400730294,1.2972086791091963,0.7090523766273085,0.19216351313841235,5.757970293748888,0.636272040302267,0.0527695790290832,2.0152262489318846
siamesebert,0.7502008032128514,0.0135348987765206,2.0051190044622804,0.6288951841359773,0.0230758805542217,2.9074700935986426,,,,,,
random,0.4994072637137622,1.3051584408158292e-07,0.5151366828168404,0.5035339995125518,1.2712141053866496e-07,0.5257049511784766,0.5241434582248047,1.368270414479165e-07,0.6778526364794885,0.4920508744038155,1.2369155883789066e-07,0.4795047103881836
