method,gerav_f1-score,gerav_average_time,gerav_average_memory,avshift_f1-score,avshift_average_time,avshift_average_memory,pan2020_f1-score,pan2020_average_time,pan2020_average_memory,crossnews_f1-score,crossnews_average_time,crossnews_average_memory
adhominem,0.7326609129666216,0.0243757186435734,9.78319299597924,,,,0.7999013076733283,0.0014687507806020628,12.176906040888914,0.7575490022956031,0.0011807219982147,3.2484208892822264
charngram,0.7140989322292438,9.735293231417264e-07,1.8196142959594723,,,,,,,0.7313997477931904,1.0982465744018557e-05,29.945823669433597
ppm,0.6319005018546804,0.0477133375734103,0.5972760362819244,,,,0.7345333906739571,0.3639399907380877,12.11833910435286,0.636272040302267,0.0564313686847686,2.0170015815734863
siamesebert,,,,,,,,,,0.6662049861495845,0.0146108713626861,3.659648974609375
random,0.4994072637137622,1.233911658840915e-07,0.5328177728401009,,,,0.5241434582248047,1.284971351135736e-07,0.9314983563306204,0.4920508744038155,1.6617774963378905e-07,0.4875496757507324
